No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
3086;21.14491;35.186.224.39;192.168.1.7;TLSv1.2;94;Application Data;;;21.14491;21.199881;0.054971;-0.230638;0.285609;0.516247
3087;21.199881;192.168.1.7;35.186.224.39;TCP;54;49752  >  443 [ACK] Seq=44 Ack=41 Win=252 Len=0;;;21.199881;21.48549;0.285609;0.247301;0.038308;-0.208993
3088;21.48549;192.168.1.7;35.186.224.47;TLSv1.2;89;Application Data;;;21.48549;21.523798;0.038308;-0.002836;0.041144;0.04398
3089;21.523798;35.186.224.47;192.168.1.7;TCP;56;443  >  49748 [ACK] Seq=1 Ack=36 Win=266 Len=0;;;21.523798;21.564942;0.041144;0.001521;0.039623;0.038102
3090;21.564942;35.186.224.47;192.168.1.7;TLSv1.2;85;Application Data;;;21.564942;21.604565;0.039623;-0.009562;0.049185;0.058747
3091;21.604565;192.168.1.7;35.186.224.47;TCP;54;49748  >  443 [ACK] Seq=36 Ack=32 Win=255 Len=0;;;21.604565;21.65375;0.049185;0.048761;0.000424;-0.048337
3092;21.65375;192.168.1.7;142.251.12.93;TLSv1.2;93;Application Data;;;21.65375;21.654174;0.000424;-0.019691;0.020115;0.039806
3093;21.654174;192.168.1.7;142.251.12.106;TLSv1.2;93;Application Data;;;21.654174;21.674289;0.020115;0.019901;0.000214;-0.019687
3094;21.674289;142.251.12.106;192.168.1.7;TLSv1.2;93;Application Data;;;21.674289;21.674503;0.000214;0.000109;0.000105;-4E-06
3095;21.674503;142.251.12.93;192.168.1.7;TLSv1.2;93;Application Data;;;21.674503;21.674608;0.000105;5.9E-05;4.6E-05;-1.3E-05
3096;21.674608;142.251.12.106;192.168.1.7;TCP;56;443  >  62844 [ACK] Seq=1 Ack=40 Win=284 Len=0;;;21.674608;21.674654;4.6E-05;-4.2E-05;8.8E-05;0.00013
3097;21.674654;192.168.1.7;142.251.12.106;TCP;54;62844  >  443 [ACK] Seq=40 Ack=40 Win=252 Len=0;;;21.674654;21.674742;8.8E-05;6E-05;2.8E-05;-3.2E-05
